tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;snow;snowdepth;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;moonphase
14.0;9.9;12.3;14.0;7.2;12.0;8.4;77.2;0.35;100;8.33;0.0;0.0;43.2;197.5;1004.0;57.7;15.2;22.5;1.9;2;0.96
10.6;8.1;9.3;10.6;4.5;6.4;5.7;78.2;0.203;100;12.5;0.0;0.0;33.7;227.7;1001.4;46.8;18.9;19.5;1.8;1;0.0
9.6;2.1;7.3;6.7;-3.2;3.4;3.9;79.6;0.084;100;8.33;0.0;0.0;30.9;251.8;1000.6;59.5;16.9;21.8;1.8;2;0.02
3.8;-0.1;1.4;-0.7;-5.4;-3.6;-0.7;85.8;2.262;100;4.17;0.0;0.0;26.8;291.1;1007.3;41.2;18.9;23.9;2.1;2;0.06
4.4;-0.7;1.3;1.2;-6.3;-2.8;-1.1;84.1;0.0;0;0.0;0.0;0.0;23.3;261.0;1016.6;62.8;20.8;21.4;1.8;1;0.09
8.6;-0.1;4.5;5.1;-3.9;0.0;1.1;79.1;2.248;100;8.33;0.0;0.0;33.8;207.5;1006.4;70.0;16.9;17.4;1.6;1;0.12
5.4;0.8;2.3;2.3;-4.8;-2.3;1.1;91.9;2.392;100;12.5;0.0;0.0;26.5;235.8;1007.0;82.2;16.2;13.5;1.3;1;0.16
9.3;2.3;6.1;5.7;-2.9;1.9;3.9;86.0;2.239;100;12.5;0.0;0.0;31.5;244.0;996.4;70.3;15.3;22.4;2.0;2;0.19
7.1;1.9;4.9;4.5;-2.9;1.0;2.9;86.8;0.051;100;4.17;0.0;0.0;24.4;240.7;1000.3;62.8;17.1;24.3;1.9;1;0.25
11.9;6.3;9.6;11.9;4.7;8.6;8.4;92.5;0.507;100;12.5;0.0;0.0;22.7;213.7;1012.1;87.0;14.4;22.8;1.9;1;0.25
8.0;4.5;6.1;6.0;2.1;3.7;3.8;85.4;0.246;100;4.17;0.0;0.0;15.1;238.5;1029.8;62.0;16.4;26.7;2.2;2;0.29
9.9;4.6;6.7;8.1;2.2;4.4;3.9;82.3;0.001;100;4.17;0.0;0.0;16.1;233.5;1039.6;54.1;19.3;25.8;2.4;2;0.32
5.8;2.0;4.4;3.7;-0.7;1.9;2.2;86.1;0.0;0;0.0;0.0;0.0;15.8;235.0;1039.6;62.9;20.1;25.8;2.1;2;0.35
6.9;0.4;4.2;6.5;-1.6;3.1;2.0;86.1;0.0;0;0.0;0.0;0.0;14.5;135.8;1034.3;74.6;17.5;23.2;2.0;1;0.39
7.9;-0.6;5.3;6.5;-2.9;3.5;3.8;90.5;0.198;100;4.17;0.0;0.0;11.5;188.6;1022.5;80.3;15.3;9.9;0.9;0;0.42
7.3;0.6;5.2;4.2;-2.3;2.3;2.7;84.8;0.002;100;4.17;0.0;0.0;23.3;277.3;1028.2;73.2;17.6;22.9;1.8;1;0.45
6.6;-2.2;1.2;5.4;-6.2;-1.0;-0.6;88.5;0.0;0;0.0;0.0;0.0;12.1;247.1;1037.2;12.2;20.1;27.8;2.3;2;0.5
9.3;-2.9;4.7;7.6;-5.6;2.7;2.9;88.4;0.009;100;4.17;0.0;0.0;22.4;207.1;1031.7;66.9;19.2;27.2;2.4;2;0.52
9.3;3.0;6.7;6.4;-1.2;3.2;4.3;85.5;0.408;100;8.33;0.0;0.0;27.8;277.8;1029.5;58.0;17.0;30.5;2.6;2;0.55
6.3;0.5;3.5;4.4;-3.8;0.6;1.8;89.1;0.001;100;4.17;0.0;0.0;20.8;276.5;1039.4;58.2;18.0;23.3;2.0;1;0.59
6.0;4.1;5.1;3.3;1.1;2.3;2.3;82.0;0.0;0;0.0;0.0;0.0;21.6;266.7;1040.1;91.3;19.1;17.6;1.4;1;0.62
7.1;4.9;6.1;5.7;2.1;3.8;4.3;88.5;0.003;100;4.17;0.0;0.0;17.6;243.4;1037.4;89.1;14.1;27.3;2.3;2;0.66
7.0;5.0;6.1;4.7;2.1;3.6;2.2;75.7;0.0;0;0.0;0.0;0.0;15.2;207.3;1032.1;88.9;20.6;22.5;2.0;1;0.69
8.0;1.4;5.7;6.4;-0.5;3.7;3.1;83.7;0.001;100;4.17;0.0;0.0;17.3;164.2;1030.9;69.3;13.2;35.5;2.9;2;0.73
7.1;3.2;5.4;5.9;0.5;3.7;2.4;80.9;0.0;0;0.0;0.0;0.0;12.2;214.6;1032.6;78.0;16.4;17.4;1.6;1;0.75
9.8;4.4;7.7;6.5;1.7;4.6;4.5;80.3;0.0;0;0.0;0.0;0.0;28.8;231.2;1028.8;84.6;19.4;40.2;3.6;2;0.8
10.1;3.4;8.2;10.1;1.2;5.9;6.5;89.1;0.241;100;8.33;0.0;0.0;25.2;266.2;1028.6;75.0;18.8;33.5;3.1;3;0.83
11.8;3.7;8.5;11.8;1.6;7.4;6.7;88.3;0.025;100;8.33;0.0;0.0;33.3;239.8;1030.0;86.9;17.0;33.4;3.0;2;0.87
11.8;3.0;8.6;11.8;-0.8;6.4;5.1;78.8;0.453;100;8.33;0.0;0.0;48.3;269.9;1028.2;78.7;17.1;36.4;3.0;2;0.9
8.2;1.6;4.9;4.3;-1.7;1.3;2.6;85.2;0.82;100;4.17;0.0;0.0;51.1;245.1;1028.0;70.0;18.3;41.8;3.6;2;0.94
8.8;4.1;6.4;4.8;-0.6;2.2;3.8;83.4;0.005;100;8.33;0.0;0.0;35.6;267.9;1027.2;74.4;17.2;36.2;3.0;3;0.97
10.6;8.7;9.6;10.6;4.5;6.9;8.7;94.0;0.158;100;8.33;0.0;0.0;41.0;265.8;1023.4;94.4;10.2;26.6;2.2;1;0.0
10.1;7.9;8.9;10.1;4.4;6.3;7.4;90.4;0.176;100;4.17;0.0;0.0;34.3;247.1;1020.9;87.5;16.8;21.7;1.9;1;0.04
11.0;4.9;8.6;11.0;1.2;6.5;6.2;84.8;0.002;100;8.33;0.0;0.0;39.2;238.6;1008.7;83.7;16.9;40.8;3.6;2;0.07
5.9;2.0;3.3;1.4;-2.8;-1.2;1.2;86.3;4.401;100;8.33;0.0;0.0;37.6;260.1;1011.2;58.1;19.2;48.4;4.1;2;0.11
9.1;2.4;6.7;5.2;-2.0;2.4;4.4;85.8;2.473;100;8.33;0.0;0.0;37.0;245.3;1010.6;80.9;13.9;28.6;2.4;1;0.14
9.0;3.8;6.3;4.9;-0.4;1.6;3.4;82.1;3.677;100;16.67;0.0;0.0;53.9;273.7;1006.8;60.9;17.3;33.7;2.8;1;0.17
11.4;2.9;8.3;11.4;-1.0;6.8;5.8;84.8;0.035;100;8.33;0.0;0.0;31.4;238.2;1020.7;75.4;16.2;39.2;3.3;2;0.2
11.1;8.0;10.3;11.1;5.2;9.5;8.9;91.0;0.48;100;12.5;0.0;0.0;30.4;243.9;1019.6;87.6;10.1;16.8;1.4;1;0.25
7.9;2.9;5.9;4.6;-1.1;2.4;3.0;82.0;4.46;100;4.17;0.0;0.0;27.5;250.8;1020.8;67.3;19.2;53.5;4.5;3;0.27
6.3;1.3;3.0;1.4;-3.2;-1.7;0.4;83.0;0.253;100;4.17;0.0;0.0;34.1;254.4;1022.8;39.8;22.6;55.6;4.7;3;0.3
7.9;0.8;4.5;4.1;-4.1;0.5;0.8;77.6;0.0;0;0.0;0.0;0.0;38.4;209.6;1026.2;71.1;23.5;54.5;4.7;3;0.33
10.8;7.1;8.9;10.8;2.6;5.9;5.9;81.9;0.952;100;12.5;0.0;0.0;39.5;208.0;1007.9;83.6;17.4;43.6;3.7;2;0.36
8.9;4.4;7.2;7.3;-0.2;4.1;5.9;91.2;9.763;100;8.33;0.0;0.0;27.2;251.6;991.5;91.8;15.6;32.0;2.7;2;0.4
7.3;3.6;5.3;2.6;-0.4;0.9;2.8;84.6;0.406;100;8.33;0.0;0.0;41.1;279.6;1000.5;65.3;17.9;43.8;3.8;2;0.43
10.1;5.9;7.5;10.1;2.0;3.9;4.9;84.0;2.39;100;8.33;0.0;0.0;36.8;228.9;998.1;88.3;15.2;39.3;3.4;2;0.46
13.1;6.8;10.7;13.1;2.0;9.5;7.5;81.1;5.527;100;12.5;0.0;0.0;52.8;251.0;989.6;83.2;12.9;37.5;3.3;2;0.5
7.2;3.3;5.3;4.2;-0.9;1.4;2.3;81.0;1.241;100;8.33;0.0;0.0;33.1;247.5;1004.0;81.6;17.7;42.8;3.8;2;0.53
6.8;0.9;3.4;2.8;-5.5;-2.2;1.1;85.1;5.002;100;12.5;0.0;0.0;64.8;255.8;991.1;62.0;15.0;54.8;4.8;3;0.56
10.0;1.0;4.6;10.0;-4.2;0.6;3.0;89.6;9.248;100;8.33;0.3;0.1;37.0;240.0;1003.7;77.2;15.8;45.0;3.8;2;0.6
11.3;1.3;7.8;11.3;-5.1;5.2;5.9;87.6;15.811;100;16.67;0.0;0.0;50.1;253.8;995.9;84.8;11.8;20.6;1.8;1;0.64
9.6;2.6;7.1;5.8;-3.1;2.4;3.4;77.6;1.438;100;8.33;0.0;0.0;56.0;268.5;1010.7;80.8;15.4;48.5;4.2;2;0.67
10.8;5.9;8.2;10.8;1.4;5.0;4.7;78.7;3.312;100;12.5;0.0;0.0;51.6;254.3;1014.5;63.8;18.3;76.4;6.5;3;0.71
11.3;3.8;7.3;11.3;-1.4;3.9;3.2;75.6;0.92;100;8.33;0.0;0.0;37.4;233.4;1010.6;59.4;18.8;85.0;7.4;4;0.75
5.8;0.7;2.8;0.9;-4.8;-2.2;0.1;82.4;1.369;100;8.33;0.5;0.5;39.0;251.8;1007.6;64.1;17.6;92.9;8.2;4;0.78
10.0;2.1;6.2;10.0;-3.4;2.7;2.6;78.4;0.278;100;4.17;0.0;0.0;25.9;228.4;1023.5;55.3;19.7;87.5;7.8;4;0.81
10.6;7.9;8.6;10.6;3.5;5.0;3.1;68.4;0.0;0;0.0;0.0;0.0;38.8;182.2;1018.5;78.4;19.1;67.5;5.6;4;0.85
9.1;7.0;8.2;5.7;3.0;4.5;4.2;76.2;0.001;100;4.17;0.0;0.0;36.5;162.9;1013.9;79.0;16.3;47.0;4.4;2;0.88
9.4;0.1;6.9;7.6;-3.4;4.2;4.9;87.1;0.497;100;12.5;0.0;0.0;31.0;226.1;1017.6;71.0;16.1;32.5;2.8;1;0.92
7.7;-3.3;2.6;4.5;-7.3;-0.7;0.1;84.2;0.0;0;0.0;0.0;0.0;24.8;67.7;1027.9;31.1;20.3;115.3;9.1;5;0.96
9.3;5.9;7.5;6.4;1.4;4.2;6.2;91.3;2.864;100;12.5;0.0;0.0;29.8;126.0;1013.9;90.4;11.7;14.7;1.3;1;0.0
9.7;3.8;6.8;8.1;0.3;4.2;3.2;78.4;0.255;100;4.17;0.0;0.0;20.7;271.3;1014.1;80.7;22.6;109.0;8.6;4;0.02
8.0;-0.6;3.3;5.2;-5.0;-0.6;0.1;81.1;0.0;0;0.0;0.0;0.0;22.5;286.2;1023.1;37.3;22.3;108.8;8.6;5;0.06
7.9;-3.0;2.0;4.5;-6.9;-1.4;-1.3;79.7;0.0;0;0.0;0.0;0.0;22.6;352.4;1030.5;25.4;23.0;108.6;8.8;4;0.09
